"Symbol","Name","LastSale","MarketCap","IPOyear","Sector","industry","Summary Quote",
"C^J","Citigroup Inc.","28.35","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/c^j",
"C^K","Citigroup Inc.","27.99","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/c^k",
"C^L","Citigroup Inc.","26.51","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/c^l",
"C^N","Citigroup Inc.","25.97","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/c^n",
"C^P","Citigroup Inc.","27.93","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/c^p",
"C^S","Citigroup Inc.","26.17","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/c^s",
"CFG","Citizens Financial Group, Inc.","35.72","$18.28B","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/cfg",
"CIA","Citizens, Inc.","10.12","$506.83M","n/a","Finance","Life Insurance","http://www.nasdaq.com/symbol/cia",
"CIO","City Office REIT, Inc.","13.12","$319.89M","n/a","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/cio",
"CIO^A","City Office REIT, Inc.","23.46","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/cio^a",
"CVEO","Civeo Corporation","2.43","$262.68M","n/a","Consumer Services","Hotels/Resorts","http://www.nasdaq.com/symbol/cveo",
"CIVI","Civitas Solutions, Inc.","20.15","$749.91M","n/a","Health Care","Medical/Nursing Services","http://www.nasdaq.com/symbol/civi",
"CLC","CLARCOR Inc.","82.29","$4B","n/a","Capital Goods","Auto Parts:O.E.M.","http://www.nasdaq.com/symbol/clc",
"CWEI","Clayton Williams Energy, Inc.","114.87","$2.01B","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/cwei",
"CLH","Clean Harbors, Inc.","56.2","$3.23B","n/a","Basic Industries","Environmental Services","http://www.nasdaq.com/symbol/clh",
"CCO","Clear Channel Outdoor Holdings, Inc.","4.9","$1.78B","n/a","Consumer Services","Advertising","http://www.nasdaq.com/symbol/cco",
"CBA           ","ClearBridge American Energy MLP Fund Inc.","9.46","$554.29M","n/a","n/a","n/a","http://www.nasdaq.com/symbol/cba",
"CEM","ClearBridge Energy MLP Fund Inc.","16.07","$1.13B","n/a","n/a","n/a","http://www.nasdaq.com/symbol/cem",
"EMO","ClearBridge Energy MLP Opportunity Fund Inc.","13.43","$418.96M","n/a","n/a","n/a","http://www.nasdaq.com/symbol/emo",
"CTR","ClearBridge Energy MLP Total Return Fund Inc.","13","$499.2M","n/a","n/a","n/a","http://www.nasdaq.com/symbol/ctr",
"CLW","Clearwater Paper Corporation","65.8","$1.1B","n/a","Basic Industries","Paper","http://www.nasdaq.com/symbol/clw",
"CLF","Cliffs Natural Resources Inc.","8.72","$2.01B","n/a","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/clf",
"CLX","Clorox Company (The)","122.7","$15.8B","n/a","Consumer Durables","Specialty Chemicals","http://www.nasdaq.com/symbol/clx",
"CLD","Cloud Peak Energy Inc","5.48","$336.78M","n/a","Energy","Coal Mining","http://www.nasdaq.com/symbol/cld",
"MYCC","ClubCorp Holdings, Inc.","14.6","$956.51M","n/a","Consumer Services","Hotels/Resorts","http://www.nasdaq.com/symbol/mycc",
"CMS","CMS Energy Corporation","41.99","$11.75B","n/a","Public Utilities","Power Generation","http://www.nasdaq.com/symbol/cms",
"CMS^B","CMS Energy Corporation","101.95","n/a","n/a","Public Utilities","Power Generation","http://www.nasdaq.com/symbol/cms^b",
"CNA","CNA Financial Corporation","41.18","$11.14B","n/a","Finance","Property-Casualty Insurers","http://www.nasdaq.com/symbol/cna",
"CNHI","CNH Industrial N.V.","8.94","$12.18B","n/a","Capital Goods","Construction/Ag Equipment/Trucks","http://www.nasdaq.com/symbol/cnhi",
"CNO","CNO Financial Group, Inc.","19.19","$3.33B","n/a","Finance","Accident &Health Insurance","http://www.nasdaq.com/symbol/cno",
"CEO","CNOOC Limited","129","$1.29B","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/ceo",
